accx,accy,accz
0.372,-0.444,-6.169
-0.239,-0.641,-7.047
-0.823,-0.694,-7.928
-1.382,-0.707,-8.826
-1.729,-0.778,-9.51
-1.901,-0.902,-10.018
-1.975,-1.01,-10.36
-2.04,-1.106,-10.453
-1.992,-1.2,-10.407
-1.852,-1.34,-10.312
-1.636,-1.484,-10.051
-1.467,-1.583,-9.768
-1.454,-1.55,-9.431
-1.462,-1.47,-9.07
-1.555,-1.491,-8.543
-1.859,-1.426,-7.884
-1.859,-1.426,-7.884
-2.001,-1.476,-6.896
-1.823,-1.55,-6.368
-1.823,-1.55,-6.368
-0.692,-1.697,-5.32
-0.692,-1.697,-5.32
0.39,-1.494,-3.792
0.657,-1.331,-2.986
0.657,-1.331,-2.986
0.404,-0.75,-1.289
-0.35,0.026,-0.204
-0.772,0.533,0.768
-1.044,1.002,1.783
-1.044,1.002,1.783
-0.823,1.535,3.849
-0.376,1.446,5.179
0.15,1.323,6.3
0.15,1.323,6.3
0.526,1.28,7.438
1.048,0.91,9.344
0.806,0.765,10.073
0.114,0.782,10.442
-0.861,1.03,10.388
-1.703,1.291,9.889
-1.883,1.243,9.112
-1.44,1.013,8.166
-0.665,0.773,7.084
-0.025,0.558,6.197
0.305,0.307,5.257
0.381,0.049,4.277
0.209,-0.159,3.251
-0.038,-0.332,2.158
-0.29,-0.52,0.853
-0.29,-0.52,0.853
-0.542,-0.772,-1.899
-0.52,-0.914,-3.367
-0.693,-0.958,-4.747
-0.729,-0.918,-6.19
-0.7,-0.841,-7.551
-0.484,-0.883,-8.666
-0.239,-0.914,-9.581
0,-0.975,-10.378
0.109,-1.038,-10.891
0.109,-1.038,-10.891
0.075,-1.173,-11.279
0.068,-1.263,-11.201
0.107,-1.373,-10.883
0.121,-1.481,-10.514
0.215,-1.553,-10.075
